Student ID,Class,Assignment,Category,Points Possible,Score,Status,Due Date
700001,Math 4,Fractions Quiz,Quiz,20,18,graded,2026-09-10
700001,Math 4,Unit 1 Test,Test,100,72,graded,2026-09-20
700001,Math 4,Homework 3,Homework,10,,missing,2026-09-22
700001,Math 4,Fraction Poster Project,Project,50,44,graded,2026-10-12
700002,Math 4,Fractions Quiz,Quiz,20,20,graded,2026-09-10
700002,Math 4,Unit 1 Test,Test,100,95,graded,2026-09-20
700002,Math 4,Homework 3,Homework,10,10,graded,2026-09-22
700002,Math 4,Fraction Poster Project,Project,50,48,graded,2026-10-12
700003,Math 4,Fractions Quiz,Quiz,20,11,graded,2026-09-10
700003,Math 4,Unit 1 Test,Test,100,58,graded,2026-09-20
700003,Math 4,Homework 3,Homework,10,,missing,2026-09-22
700003,Math 4,Fraction Poster Project,Project,50,39,graded,2026-10-12
